HMDBP,Metabolite,direction,status
HMDBP04403,HMDB0000902,Reactand,Experimental
HMDBP04403,HMDB0001487,Reactand,Experimental
HMDBP04403,HMDB0000077,Reactand,Experimental
HMDBP04403,HMDB0000053,Product,Experimental
HMDBP04403,HMDB0001487,Product,Experimental
HMDBP04403,HMDB0059597,Product,Experimental
HMDBP04403,HMDB0000253,Reactand,Experimental
HMDBP04403,HMDB0001830,Product,Experimental
HMDBP04403,HMDB0000234,Reactand,Experimental
HMDBP04403,HMDB0059597,Reactand,Experimental
HMDBP04403,HMDB0003818,Product,Experimental
HMDBP04403,HMDB0000902,Product,Experimental
HMDBP04403,HMDB0000063,Reactand,Experimental
HMDBP04403,HMDB0006760,Product,Experimental
HMDBP04403,HMDB0000363,Reactand,Experimental
HMDBP04403,HMDB0000374,Product,Experimental
HMDBP04403,HMDB0004026,Reactand,Experimental
HMDBP04403,HMDB0000016,Product,Experimental
HMDBP04403,HMDB0006774,Reactand,Experimental
HMDBP04403,HMDB0000352,Product,Experimental
HMDBP04403,HMDB0000015,Reactand,Experimental
HMDBP04403,HMDB0006762,Product,Experimental
HMDBP04404,HMDB0000902,Reactand,Experimental
HMDBP04404,HMDB0001487,Reactand,Experimental
HMDBP04404,HMDB0000077,Reactand,Experimental
HMDBP04404,HMDB0000053,Product,Experimental
HMDBP04404,HMDB0001487,Product,Experimental
HMDBP04404,HMDB0059597,Product,Experimental
HMDBP04404,HMDB0000253,Reactand,Experimental
HMDBP04404,HMDB0001830,Product,Experimental
HMDBP04404,HMDB0000234,Reactand,Experimental
HMDBP04404,HMDB0059597,Reactand,Experimental
HMDBP04404,HMDB0003818,Product,Experimental
HMDBP04404,HMDB0000902,Product,Experimental
HMDBP04404,HMDB0000063,Reactand,Experimental
HMDBP04404,HMDB0006760,Product,Experimental
HMDBP04404,HMDB0000363,Reactand,Experimental
HMDBP04404,HMDB0000374,Product,Experimental
HMDBP04404,HMDB0004026,Reactand,Experimental
HMDBP04404,HMDB0000016,Product,Experimental
HMDBP04404,HMDB0006774,Reactand,Experimental
HMDBP04404,HMDB0000352,Product,Experimental
HMDBP04404,HMDB0000015,Reactand,Experimental
HMDBP04404,HMDB0006762,Product,Experimental
HMDBP04980,HMDB0000902,Reactand,Experimental
HMDBP04980,HMDB0001487,Reactand,Experimental
HMDBP04980,HMDB0059592,Reactand,Experimental
HMDBP04980,HMDB0001993,Product,Experimental
HMDBP04980,HMDB0001487,Product,Experimental
HMDBP04980,HMDB0001496,Reactand,Experimental
HMDBP04980,HMDB0059597,Product,Experimental
HMDBP04980,HMDB0060136,Reactand,Experimental
HMDBP04980,HMDB0012457,Product,Experimental
HMDBP04980,HMDB0006280,Reactand,Experimental
HMDBP04980,HMDB0060425,Product,Experimental
HMDBP04980,HMDB0006281,Reactand,Experimental
HMDBP04980,HMDB0012459,Product,Experimental
HMDBP04980,HMDB0012454,Reactand,Experimental
HMDBP04980,HMDB0012458,Product,Experimental
HMDBP01128,HMDB0001476,Reactand,Experimental
HMDBP01128,HMDB0001377,Reactand,Experimental
HMDBP01128,HMDB0001330,Product,Experimental
HMDBP00395,HMDB0000023,Reactand,Experimental
HMDBP00395,HMDB0000902,Reactand,Experimental
HMDBP00395,HMDB0001172,Product,Experimental
HMDBP00395,HMDB0001487,Product,Experimental
HMDBP00395,HMDB0002217,Product,Experimental
HMDBP00395,HMDB0059597,Product,Experimental
HMDBP00005,HMDB0002111,Reactand,Experimental
HMDBP00005,HMDB0001429,Reactand,Experimental
HMDBP00005,HMDB0000045,Reactand,Experimental
HMDBP00005,HMDB0000050,Product,Experimental
HMDBP00005,HMDB0001429,Product,Experimental
HMDBP00005,HMDB0000095,Reactand,Experimental
HMDBP00005,HMDB0000089,Product,Experimental
HMDBP00005,HMDB0000288,Reactand,Experimental
HMDBP00005,HMDB0000296,Product,Experimental
HMDBP00005,HMDB0000175,Reactand,Experimental
HMDBP00005,HMDB0000195,Product,Experimental
HMDBP00005,HMDB0001397,Reactand,Experimental
HMDBP00005,HMDB0000133,Product,Experimental
HMDBP00005,HMDB0001227,Reactand,Experimental
HMDBP00005,HMDB0000273,Product,Experimental
HMDBP00005,HMDB0001202,Reactand,Experimental
HMDBP00005,HMDB0000014,Product,Experimental
HMDBP00005,HMDB0001044,Reactand,Experimental
HMDBP00005,HMDB0000085,Product,Experimental
HMDBP00005,HMDB0000905,Reactand,Experimental
HMDBP00005,HMDB0000101,Product,Experimental
HMDBP00005,HMDB0000229,Reactand,Experimental
HMDBP00005,HMDB0000855,Product,Experimental
HMDBP00005,HMDB0001554,Reactand,Experimental
HMDBP00005,HMDB0000299,Product,Experimental
HMDBP00005,HMDB0001132,Reactand,Experimental
HMDBP00005,HMDB0006809,Product,Experimental
HMDBP00004,HMDB0002111,Reactand,Experimental
HMDBP00004,HMDB0001429,Reactand,Experimental
HMDBP00004,HMDB0000045,Reactand,Experimental
HMDBP00004,HMDB0000050,Product,Experimental
HMDBP00004,HMDB0001429,Product,Experimental
HMDBP00004,HMDB0000095,Reactand,Experimental
HMDBP00004,HMDB0000089,Product,Experimental
HMDBP00004,HMDB0000288,Reactand,Experimental
HMDBP00004,HMDB0000296,Product,Experimental
HMDBP00004,HMDB0000175,Reactand,Experimental
HMDBP00004,HMDB0000195,Product,Experimental
HMDBP00004,HMDB0001397,Reactand,Experimental
HMDBP00004,HMDB0000133,Product,Experimental
HMDBP00004,HMDB0001227,Reactand,Experimental
HMDBP00004,HMDB0000273,Product,Experimental
HMDBP00004,HMDB0001202,Reactand,Experimental
HMDBP00004,HMDB0000014,Product,Experimental
HMDBP00004,HMDB0001044,Reactand,Experimental
HMDBP00004,HMDB0000085,Product,Experimental
HMDBP00004,HMDB0000905,Reactand,Experimental
HMDBP00004,HMDB0000101,Product,Experimental
HMDBP00004,HMDB0000229,Reactand,Experimental
HMDBP00004,HMDB0000855,Product,Experimental
HMDBP00004,HMDB0001554,Reactand,Experimental
HMDBP00004,HMDB0000299,Product,Experimental
HMDBP00004,HMDB0001132,Reactand,Experimental
HMDBP00004,HMDB0006809,Product,Experimental
HMDBP09216,HMDB0002111,Reactand,Experimental
HMDBP09216,HMDB0001429,Reactand,Experimental
HMDBP03189,HMDB0002111,Reactand,Experimental
HMDBP03189,HMDB0001429,Reactand,Experimental
HMDBP03189,HMDB0000045,Reactand,Experimental
HMDBP03189,HMDB0000050,Product,Experimental
HMDBP03189,HMDB0001429,Product,Experimental
HMDBP03189,HMDB0000095,Reactand,Experimental
HMDBP03189,HMDB0000089,Product,Experimental
HMDBP03189,HMDB0000288,Reactand,Experimental
HMDBP03189,HMDB0000296,Product,Experimental
HMDBP03189,HMDB0000175,Reactand,Experimental
HMDBP03189,HMDB0000195,Product,Experimental
HMDBP03189,HMDB0001397,Reactand,Experimental
HMDBP03189,HMDB0000133,Product,Experimental
HMDBP03189,HMDB0001227,Reactand,Experimental
HMDBP03189,HMDB0000273,Product,Experimental
HMDBP03189,HMDB0001202,Reactand,Experimental
HMDBP03189,HMDB0000014,Product,Experimental
HMDBP03189,HMDB0001044,Reactand,Experimental
HMDBP03189,HMDB0000085,Product,Experimental
HMDBP03189,HMDB0000905,Reactand,Experimental
HMDBP03189,HMDB0000101,Product,Experimental
HMDBP03189,HMDB0000229,Reactand,Experimental
HMDBP03189,HMDB0000855,Product,Experimental
HMDBP03189,HMDB0001554,Reactand,Experimental
HMDBP03189,HMDB0000299,Product,Experimental
HMDBP03189,HMDB0001132,Reactand,Experimental
HMDBP03189,HMDB0006809,Product,Experimental
HMDBP03750,HMDB0002111,Reactand,Experimental
HMDBP03750,HMDB0001429,Reactand,Experimental
HMDBP03750,HMDB0000045,Reactand,Experimental
HMDBP03750,HMDB0000050,Product,Experimental
HMDBP03750,HMDB0001429,Product,Experimental
HMDBP03750,HMDB0000095,Reactand,Experimental
HMDBP03750,HMDB0000089,Product,Experimental
HMDBP03750,HMDB0000288,Reactand,Experimental
HMDBP03750,HMDB0000296,Product,Experimental
HMDBP03750,HMDB0000175,Reactand,Experimental
HMDBP03750,HMDB0000195,Product,Experimental
HMDBP03750,HMDB0001397,Reactand,Experimental
HMDBP03750,HMDB0000133,Product,Experimental
HMDBP03750,HMDB0001227,Reactand,Experimental
HMDBP03750,HMDB0000273,Product,Experimental
HMDBP03750,HMDB0001202,Reactand,Experimental
HMDBP03750,HMDB0000014,Product,Experimental
HMDBP03750,HMDB0001044,Reactand,Experimental
HMDBP03750,HMDB0000085,Product,Experimental
HMDBP03750,HMDB0000905,Reactand,Experimental
HMDBP03750,HMDB0000101,Product,Experimental
HMDBP03750,HMDB0000229,Reactand,Experimental
HMDBP03750,HMDB0000855,Product,Experimental
HMDBP03750,HMDB0001554,Reactand,Experimental
HMDBP03750,HMDB0000299,Product,Experimental
HMDBP03750,HMDB0001132,Reactand,Experimental
HMDBP03750,HMDB0006809,Product,Experimental
HMDBP00001,HMDB0002111,Reactand,Experimental
HMDBP00001,HMDB0001429,Reactand,Experimental
HMDBP00001,HMDB0000045,Reactand,Experimental
HMDBP00001,HMDB0000050,Product,Experimental
HMDBP00001,HMDB0001429,Product,Experimental
HMDBP00001,HMDB0000095,Reactand,Experimental
HMDBP00001,HMDB0000089,Product,Experimental
HMDBP00001,HMDB0000288,Reactand,Experimental
HMDBP00001,HMDB0000296,Product,Experimental
HMDBP00001,HMDB0000175,Reactand,Experimental
HMDBP00001,HMDB0000195,Product,Experimental
HMDBP00001,HMDB0001397,Reactand,Experimental
HMDBP00001,HMDB0000133,Product,Experimental
HMDBP00001,HMDB0001227,Reactand,Experimental
HMDBP00001,HMDB0000273,Product,Experimental
HMDBP00001,HMDB0001202,Reactand,Experimental
HMDBP00001,HMDB0000014,Product,Experimental
HMDBP00001,HMDB0001044,Reactand,Experimental
HMDBP00001,HMDB0000085,Product,Experimental
HMDBP00001,HMDB0000905,Reactand,Experimental
HMDBP00001,HMDB0000101,Product,Experimental
HMDBP00001,HMDB0000229,Reactand,Experimental
HMDBP00001,HMDB0000855,Product,Experimental
HMDBP00001,HMDB0001554,Reactand,Experimental
HMDBP00001,HMDB0000299,Product,Experimental
HMDBP00001,HMDB0001132,Reactand,Experimental
HMDBP00001,HMDB0006809,Product,Experimental
HMDBP01039,HMDB0001316,Reactand,Experimental
HMDBP01039,HMDB0000217,Reactand,Experimental
HMDBP01039,HMDB0000618,Product,Experimental
HMDBP01039,HMDB0000221,Product,Experimental
HMDBP01039,HMDB0001967,Product,Experimental
HMDBP01039,HMDB0059597,Product,Experimental
HMDBP00327,HMDB0002111,Reactand,Experimental
HMDBP00327,HMDB0001316,Reactand,Experimental
HMDBP00327,HMDB0001127,Reactand,Experimental
HMDBP00327,HMDB0001316,Product,Experimental
HMDBP02935,HMDB0011615,Reactand,Experimental
HMDBP02935,HMDB0002111,Reactand,Experimental
HMDBP02935,HMDB0011670,Product,Experimental
HMDBP02935,HMDB0000250,Product,Experimental
HMDBP02935,HMDB0059593,Reactand,Experimental
HMDBP02935,HMDB0059594,Product,Experimental
HMDBP00874,HMDB0000302,Reactand,Experimental
HMDBP00874,HMDB0000295,Reactand,Experimental
HMDBP00536,HMDB0002111,Reactand,Experimental
HMDBP00536,HMDB0007788,Reactand,Experimental
HMDBP04109,HMDB0000538,Reactand,Experimental
HMDBP04109,HMDB0000060,Reactand,Experimental
HMDBP04109,HMDB0001423,Reactand,Experimental
HMDBP04109,HMDB0000045,Product,Experimental
HMDBP04109,HMDB0000250,Product,Experimental
HMDBP04109,HMDB0001484,Product,Experimental
HMDBP00378,HMDB0000684,Reactand,Experimental
HMDBP00378,HMDB0000208,Reactand,Experimental
HMDBP00378,HMDB0000978,Product,Experimental
HMDBP00378,HMDB0000148,Product,Experimental
HMDBP00378,HMDB0000510,Reactand,Experimental
HMDBP00378,HMDB0000225,Product,Experimental
HMDBP00378,HMDB0011631,Reactand,Experimental
HMDBP00378,HMDB0004083,Product,Experimental
