ligand_pubchem_sid	ligand_pubchem_cid	ligand name	ligand_type	Receptor_id	Receptor_symbol	Receptor_uniprot	Receptor_location	Type	target_species	pubmed_id	Other.DB	LRID
135651413	5202	5-hydroxytryptamine	Metabolite	3350	HTR1A	P08908	Membrane	sMOL-receptor interaction	Human	1386736;9760039;10431754;9550290;9205951;15628665	IUPHAR	LR08151
135651413	5202	5-hydroxytryptamine	Metabolite	3351	HTR1B	P28222	Membrane	sMOL-receptor interaction	Human	1565658;8863519	IUPHAR	LR08152
135651581	1150	tryptamine	Metabolite	3351	HTR1B	P28222	Membrane	sMOL-receptor interaction	Human	1565658	IUPHAR	LR08154
135651962	7048566	5-HT-moduline	Peptide	3351	HTR1B	P28222	Membrane	sMOL-receptor interaction	Human	9774213	IUPHAR	LR08155
135651413	5202	5-hydroxytryptamine	Metabolite	3352	HTR1D	P28221	Membrane	sMOL-receptor interaction	Human	10431754;1565658;9208142;9776361;8957260;8967979;1652050	IUPHAR	LR08156
135651962	7048566	5-HT-moduline	Peptide	3352	HTR1D	P28221	Membrane	sMOL-receptor interaction	Human	9774213	IUPHAR	LR08157
135651413	5202	5-hydroxytryptamine	Metabolite	3354	HTR1E	P28566	Membrane	sMOL-receptor interaction	Human	1608964;8380639;14744596;15110837	IUPHAR	LR08158
135651581	1150	tryptamine	Metabolite	3354	HTR1E	P28566	Membrane	sMOL-receptor interaction	Human	8380639;14744596;15110837	IUPHAR	LR08159
135651413	5202	5-hydroxytryptamine	Metabolite	3355	HTR1F	P30939	Membrane	sMOL-receptor interaction	Human	8380639	IUPHAR	LR08160
135651413	5202	5-hydroxytryptamine	Metabolite	3356	HTR2A	P28223	Membrane	sMOL-receptor interaction	Human	8534270	IUPHAR	LR08162
135651581	1150	tryptamine	Metabolite	3356	HTR2A	P28223	Membrane	sMOL-receptor interaction	Human	15322733;2233697;8114677	IUPHAR	LR08164
135651413	5202	5-hydroxytryptamine	Metabolite	3357	HTR2B	P41595	Membrane	sMOL-receptor interaction	Human	15322733;12954071;11104741;8078486;15466450	IUPHAR	LR08165
135651413	5202	5-hydroxytryptamine	Metabolite	3358	HTR2C	P28335	Membrane	sMOL-receptor interaction	Human	15322733;12954071;10217294;10611640;14709324	IUPHAR	LR08166
135651413	5202	5-hydroxytryptamine	Metabolite	3359	HTR3A	P46098	Membrane	sMOL-receptor interaction	Human	9950429;8848005;7565620;10521471;9463477;16081679;10825381	IUPHAR	LR08167
