hmdbp_id,uniprot
HMDBP00001,P21589
HMDBP00002,P32321
HMDBP00003,P30085
HMDBP00004,Q96P26
HMDBP00005,Q9BXI3
HMDBP00006,Q8TCD5
HMDBP00007,P27707
HMDBP00008,Q9NPB1
HMDBP00009,P35914
HMDBP00010,P53396
HMDBP00011,Q09472
HMDBP00012,P11177
HMDBP00013,Q9BWD1
HMDBP00014,Q92793
HMDBP00015,Q96F10
HMDBP00016,O95822
HMDBP00017,P22557
HMDBP00018,O00763
HMDBP00019,P11498
HMDBP00020,P18440
HMDBP00021,P11245
HMDBP00022,P13196
HMDBP00023,Q9UKN8
HMDBP00024,Q8WYK0
HMDBP00025,P28329
HMDBP00026,Q9Y6Q9
HMDBP00027,Q92831
HMDBP00028,P43155
HMDBP00029,P21673
HMDBP00030,Q16613
HMDBP00031,P42765
HMDBP00033,Q9Y6F8
HMDBP00035,P49327
HMDBP00036,Q92993
HMDBP00037,Q9NR19
HMDBP00038,P24752
HMDBP00039,Q15788
HMDBP00040,P54868
HMDBP00041,O00330
HMDBP00042,Q9NUB1
HMDBP00043,O75390
HMDBP00044,Q9Y6F7
HMDBP00045,P09110
HMDBP00046,P08559
HMDBP00047,Q13085
HMDBP00048,P55084
HMDBP00049,O75600
HMDBP00050,P29803
HMDBP00051,Q02252
HMDBP00052,Q96EK6
HMDBP00053,Q01581
HMDBP00054,P09622
HMDBP00055,P10515
HMDBP00056,O75608
HMDBP00057,Q8NCC3
HMDBP00058,P39877
HMDBP00059,Q9BZM2
HMDBP00060,P47712
HMDBP00061,P04054
HMDBP00062,Q9BX93
HMDBP00063,O15496
HMDBP00064,Q9UHV8
HMDBP00065,Q9NZK7
HMDBP00066,O95372
HMDBP00067,Q9BZM1
HMDBP00068,O60733
HMDBP00069,P04180
HMDBP00070,Q05315
HMDBP00072,P14555
HMDBP00073,Q9UNK4
HMDBP00074,P17516
HMDBP00075,P16152
HMDBP00076,Q9BTZ2
HMDBP00077,O75828
HMDBP00078,P15428
HMDBP00079,O14684
HMDBP00080,O14939
HMDBP00081,Q9UBM1
HMDBP00082,Q13393
HMDBP00083,P23919
HMDBP00084,P49961
HMDBP00085,Q8WVQ1
HMDBP00086,O75355
HMDBP00087,P14679
HMDBP00088,P15121
HMDBP00089,Q15166
HMDBP00090,P05187
HMDBP00091,P27169
HMDBP00092,Q15165
HMDBP00093,P09923
HMDBP00094,P11117
HMDBP00095,P24666
HMDBP00096,P05186
HMDBP00097,P13686
HMDBP00098,P15309
HMDBP00099,P10696
HMDBP00100,P14174
HMDBP00101,P46597
HMDBP00102,P28330
HMDBP00103,P16219
HMDBP00104,P11310
HMDBP00105,Q9HA47
HMDBP00106,O00746
HMDBP00108,P23921
HMDBP00109,P15531
HMDBP00110,Q9Y5B8
HMDBP00111,P31350
HMDBP00112,P22392
HMDBP00113,Q13232
HMDBP00114,O75414
HMDBP00116,O96000
HMDBP00117,P03886
HMDBP00118,O75438
HMDBP00119,P22413
HMDBP00120,O75306
HMDBP00121,Q99643
HMDBP00122,Q9P0Z9
HMDBP00123,Q6QHF9
HMDBP00124,Q9UI09
HMDBP00125,P00387
HMDBP00126,Q06278
HMDBP00127,O15239
HMDBP00128,Q9NRX3
HMDBP00129,O95167
HMDBP00130,P51970
HMDBP00131,O00483
HMDBP00132,P03901
HMDBP00133,Q86Y39
HMDBP00134,Q16881
HMDBP00135,O75845
HMDBP00136,O95178
HMDBP00137,O43181
HMDBP00138,P16083
HMDBP00139,P03915
HMDBP00140,O75489
HMDBP00141,O43920
HMDBP00142,P19404
HMDBP00143,P49326
HMDBP00144,O95299
HMDBP00145,P56556
HMDBP00146,Q15067
HMDBP00147,Q99489
HMDBP00148,P56181
HMDBP00149,O95168
HMDBP00150,P31040
HMDBP00151,P30519
HMDBP00152,O00217
HMDBP00153,Q14534
HMDBP00154,P03891
HMDBP00155,Q99518
HMDBP00156,P30038
HMDBP00157,O95182
HMDBP00158,Q9NNW7
HMDBP00159,O43678
HMDBP00160,Q99707
HMDBP00161,P27338
HMDBP00162,P28331
HMDBP00163,O43674
HMDBP00164,Q99424
HMDBP00165,P31512
HMDBP00166,P26440
HMDBP00167,Q13822
HMDBP00168,O43677
HMDBP00169,P21397
HMDBP00170,O95298
HMDBP00171,P31513
HMDBP00172,O43676
HMDBP00173,P17568
HMDBP00174,O14561
HMDBP00175,Q16718
HMDBP00176,Q16134
HMDBP00177,Q16795
HMDBP00178,P03905
HMDBP00179,O14521
HMDBP00180,O75251
HMDBP00181,P47989
HMDBP00182,P03897
HMDBP00183,P16435
HMDBP00184,Q02127
HMDBP00185,Q01740
HMDBP00186,P49821
HMDBP00187,Q9Y6M9
HMDBP00188,P42898
HMDBP00189,P03923
HMDBP00190,Q9P0J0
HMDBP00191,O75380
HMDBP00192,O15254
HMDBP00193,P21912
HMDBP00194,O14638
HMDBP00195,O95139
HMDBP00196,P00390
HMDBP00197,P43304
HMDBP00198,P09601
HMDBP00199,P00352
HMDBP00200,O95169
HMDBP00201,Q8NE62
HMDBP00202,Q92947
HMDBP00203,Q9UI17
HMDBP00204,P22570
HMDBP00205,O94788
HMDBP00206,P14920
HMDBP00207,Q11203
HMDBP00209,P40126
HMDBP00210,P35557
HMDBP00211,P46926
HMDBP00212,P52790
HMDBP00213,P52789
HMDBP00214,O94808
HMDBP00215,P19367
HMDBP00216,Q06210
HMDBP00217,P52788
HMDBP00218,P19623
HMDBP00219,P49366
HMDBP00220,P52824
HMDBP00221,P16233
HMDBP00222,Q9NQ66
HMDBP00223,Q15147
HMDBP00224,Q00722
HMDBP00225,P49619
HMDBP00226,P11150
HMDBP00227,P38571
HMDBP00228,Q01970
HMDBP00229,P54315
HMDBP00230,P16885
HMDBP00231,O43688
HMDBP00232,Q9NST1
HMDBP00233,P23743
HMDBP00234,Q16760
HMDBP00235,P52429
HMDBP00236,P07098
HMDBP00237,O14494
HMDBP00238,Q9Y6T7
HMDBP00239,Q9Y5X9
HMDBP00240,O75912
HMDBP00241,P19835
HMDBP00242,O14495
HMDBP00243,O75907
HMDBP00244,P19174
HMDBP00245,P54317
HMDBP00246,Q13574
HMDBP00247,P51178
HMDBP00248,P80404
HMDBP00249,P51649
HMDBP00250,P06132
HMDBP00251,P36551
HMDBP00252,P19021
HMDBP00253,P09172
HMDBP00254,O14772
HMDBP00255,Q8N0W3
HMDBP00256,Q96PE7
HMDBP00257,P22033
HMDBP00258,P05166
HMDBP00259,P05165
HMDBP00260,P37268
HMDBP00261,Q8TDX5
HMDBP00262,O76062
HMDBP00263,Q15800
HMDBP00264,Q15738
HMDBP00265,Q16850
HMDBP00266,P07738
HMDBP00267,P15259
HMDBP00268,Q8N0Y7
HMDBP00269,P18669
HMDBP00270,O14832
HMDBP00271,Q92185
HMDBP00272,P21964
HMDBP00273,P07101
HMDBP00274,Q9Y285
HMDBP00275,O95363
HMDBP00276,P07202
HMDBP00277,P17735
HMDBP00278,P20711
HMDBP00279,P22079
HMDBP00280,P00439
HMDBP00281,P30041
HMDBP00282,P05164
