From	Entry	Entry Name	Protein names
NP_006832	Q99624	S38A3_HUMAN	Sodium-coupled neutral amino acid transporter 3 (N-system amino acid transporter 1) (Na(+)-coupled neutral amino acid transporter 3) (Solute carrier family 38 member 3) (System N amino acid transporter 1)
NP_060701	Q9NVC3	S38A7_HUMAN	Sodium-coupled neutral amino acid transporter 7 (Solute carrier family 38 member 7)
NP_277053	Q8WUX1	S38A5_HUMAN	Sodium-coupled neutral amino acid transporter 5 (Solute carrier family 38 member 5) (System N transporter 2)
NP_277053	A0A024QYY0	A0A024QYY0_HUMAN	Solute carrier family 38, member 5, isoform CRA_a
NP_510968	Q7Z2H8	S36A1_HUMAN	Proton-coupled amino acid transporter 1 (Proton/amino acid transporter 1) (hPAT1) (Solute carrier family 36 member 1)
NP_542119	Q9H598	VIAAT_HUMAN	Vesicular inhibitory amino acid transporter (GABA and glycine transporter) (Solute carrier family 32 member 1) (Vesicular GABA transporter) (hVIAAT)
NP_060488	Q969I6	S38A4_HUMAN	Sodium-coupled neutral amino acid transporter 4 (Amino acid transporter A3) (Na(+)-coupled neutral amino acid transporter 4) (Solute carrier family 38 member 4) (System A amino acid transporter 3) (System N amino acid transporter 3)
NP_060488	A0A024R0X7	A0A024R0X7_HUMAN	Solute carrier family 38, member 4, isoform CRA_c
NP_001033073	Q9HBR0	S38AA_HUMAN	Putative sodium-coupled neutral amino acid transporter 10 (Solute carrier family 38 member 10)
NP_612637	Q9HBR0	S38AA_HUMAN	Putative sodium-coupled neutral amino acid transporter 10 (Solute carrier family 38 member 10)
NP_061849	Q96QD8	S38A2_HUMAN	Sodium-coupled neutral amino acid symporter 2 (Amino acid transporter A2) (Protein 40-9-1) (Solute carrier family 38 member 2) (System A amino acid transporter 2) (System A transporter 1) (System N amino acid transporter 2)
NP_061849	A0A024R0W3	A0A024R0W3_HUMAN	Solute carrier family 38, member 2, isoform CRA_b
NP_001070952	Q9H2H9	S38A1_HUMAN	Sodium-coupled neutral amino acid symporter 1 (Amino acid transporter A1) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1)
NP_001070952	A0A024R124	A0A024R124_HUMAN	Solute carrier family 38, member 1, isoform CRA_a
NP_109599	Q9H2H9	S38A1_HUMAN	Sodium-coupled neutral amino acid symporter 1 (Amino acid transporter A1) (N-system amino acid transporter 2) (Solute carrier family 38 member 1) (System A amino acid transporter 1) (System N amino acid transporter 1)
NP_109599	A0A024R124	A0A024R124_HUMAN	Solute carrier family 38, member 1, isoform CRA_a
NP_689526	Q6YBV0	S36A4_HUMAN	Neutral amino acid uniporter 4 (Solute carrier family 36 member 4)
NP_722518	Q8IZM9	S38A6_HUMAN	Probable sodium-coupled neutral amino acid transporter 6 (N-system amino acid transporter 1) (NAT-1) (Na(+)-coupled neutral amino acid transporter 6) (Solute carrier family 38 member 6)
NP_775783	Q08AI6	S38AB_HUMAN	Putative sodium-coupled neutral amino acid transporter 11 (Solute carrier family 38 member 11)
NP_775785	Q8NBW4	S38A9_HUMAN	Neutral amino acid transporter 9 (Solute carrier family 38 member 9) (Up-regulated in lung cancer 11)
NP_775785	A0A024QZR9	A0A024QZR9_HUMAN	Amino acid transporter transmembrane domain-containing protein
NP_001073911	A6NNN8	S38A8_HUMAN	Putative sodium-coupled neutral amino acid transporter 8 (Solute carrier family 38 member 8)
NP_060198	Q8NE00	TM104_HUMAN	Transmembrane protein 104
NP_060198	A0A024R8L3	A0A024R8L3_HUMAN	Transmembrane protein 104, isoform CRA_a
NP_861439	Q495N2	S36A3_HUMAN	Proton-coupled amino acid transporter 3 (Proton/amino acid transporter 3) (Solute carrier family 36 member 3) (Tramdorin-2)
NP_861441	Q495M3	S36A2_HUMAN	Proton-coupled amino acid transporter 2 (Proton/amino acid transporter 2) (Solute carrier family 36 member 2) (Transmembrane domain rich protein 1) (Tramdorin-1)
NP_000333	P02730	B3AT_HUMAN	Band 3 anion transport protein (Anion exchange protein 1) (AE 1) (Anion exchanger 1) (Solute carrier family 4 member 1) (CD antigen CD233)
NP_003750	Q9Y6R1	S4A4_HUMAN	Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1)
NP_071341	Q6U841	S4A10_HUMAN	Sodium-driven chloride bicarbonate exchanger (Solute carrier family 4 member 10)
NP_114423	Q8NBS3	S4A11_HUMAN	Solute carrier family 4 member 11 (Sodium borate cotransporter 1) (NaBC1)
NP_597812	Q9BY07	S4A5_HUMAN	Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5)
NP_067019	Q9BY07	S4A5_HUMAN	Electrogenic sodium bicarbonate cotransporter 4 (NBCe2) (Solute carrier family 4 member 5)
NP_003606	Q9Y6M7	S4A7_HUMAN	Sodium bicarbonate cotransporter 3 (Electroneutral Na/HCO(3) cotransporter) (Sodium bicarbonate cotransporter 2) (Sodium bicarbonate cotransporter 2b) (Bicarbonate transporter) (Solute carrier family 4 member 7)
NP_003031	P04920	B3A2_HUMAN	Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Non-erythroid band 3-like protein) (BND3L) (Solute carrier family 4 member 2)
NP_113655	Q96Q91	B3A4_HUMAN	Anion exchange protein 4 (AE 4) (Anion exchanger 4) (Sodium bicarbonate cotransporter 5) (Solute carrier family 4 member 9)
NP_001035049	Q2Y0W8	S4A8_HUMAN	Electroneutral sodium bicarbonate exchanger 1 (Electroneutral Na(+)-driven Cl-HCO3 exchanger) (Solute carrier family 4 member 8) (k-NBC3)
NP_001091954	Q9Y6R1	S4A4_HUMAN	Electrogenic sodium bicarbonate cotransporter 1 (Sodium bicarbonate cotransporter) (Na(+)/HCO3(-) cotransporter) (Solute carrier family 4 member 4) (kNBC1)
NP_005061	P48751	B3A3_HUMAN	Anion exchange protein 3 (AE 3) (Anion exchanger 3) (CAE3/BAE3) (Cardiac/brain band 3-like protein) (Neuronal band 3-like protein) (Solute carrier family 4 member 3)
NP_963868	P48751	B3A3_HUMAN	Anion exchange protein 3 (AE 3) (Anion exchanger 3) (CAE3/BAE3) (Cardiac/brain band 3-like protein) (Neuronal band 3-like protein) (Solute carrier family 4 member 3)
NP_003036	P30825	CTR1_HUMAN	High affinity cationic amino acid transporter 1 (CAT-1) (CAT1) (Ecotropic retroviral leukemia receptor homolog) (Ecotropic retrovirus receptor homolog) (Solute carrier family 7 member 1) (System Y+ basic amino acid transporter)
NP_003036	A0A024RDQ9	A0A024RDQ9_HUMAN	Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 1, isoform CRA_a
NP_003037	P52569	CTR2_HUMAN	Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)
NP_001008539	P52569	CTR2_HUMAN	Cationic amino acid transporter 2 (CAT-2) (CAT2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2)
NP_004164	O43246	CTR4_HUMAN	Cationic amino acid transporter 4 (CAT-4) (CAT4) (Solute carrier family 7 member 4)
NP_036376	Q9UHI5	LAT2_HUMAN	Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (hLAT2) (Solute carrier family 7 member 8)
NP_036376	Q53EM9	Q53EM9_HUMAN	Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 8 isoform a variant
NP_877392	Q9UHI5	LAT2_HUMAN	Large neutral amino acids transporter small subunit 2 (L-type amino acid transporter 2) (hLAT2) (Solute carrier family 7 member 8)
NP_055085	P82251	BAT1_HUMAN	b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)
NP_055146	Q9UPY5	XCT_HUMAN	Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT)
NP_062823	Q9NS82	AAA1_HUMAN	Asc-type amino acid transporter 1 (Asc-1) (Solute carrier family 7 member 10)
NP_066000	Q8TBB6	S7A14_HUMAN	Probable cationic amino acid transporter (Solute carrier family 7 member 14)
NP_003477	Q01650	LAT1_HUMAN	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter)
NP_620172	Q8TCU3	S7A13_HUMAN	Solute carrier family 7 member 13 (Sodium-independent aspartate/glutamate transporter 1) (X-amino acid transporter 2)
NP_003974	Q92536	YLAT2_HUMAN	Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)
NP_003974	A0A024R719	A0A024R719_HUMAN	Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 6, isoform CRA_a
NP_001070253	Q92536	YLAT2_HUMAN	Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)
NP_001070253	A0A024R719	A0A024R719_HUMAN	Solute carrier family 7 (Cationic amino acid transporter, y+ system), member 6, isoform CRA_a
NP_116192	Q8WY07	CTR3_HUMAN	Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3)
NP_001041629	Q8WY07	CTR3_HUMAN	Cationic amino acid transporter 3 (CAT-3) (CAT3) (Cationic amino acid transporter y+) (Solute carrier family 7 member 3)
NP_000266	Q04671	P_HUMAN	P protein (Melanocyte-specific transporter protein) (Pink-eyed dilution protein homolog)
NP_003040	Q14973	NTCP_HUMAN	Hepatic sodium/bile acid cotransporter (Cell growth-inhibiting gene 29 protein) (Na(+)/bile acid cotransporter) (Na(+)/taurocholate transport protein) (Sodium/taurocholate cotransporting polypeptide) (NTCP) (Solute carrier family 10 member 1) (SLC10A1)
NP_003040	B2RA41	B2RA41_HUMAN	cDNA, FLJ94688, highly similar to Homo sapiens solute carrier family 10 (sodium/bile acid cotransporter family), member 1 (SLC10A1), mRNA
NP_000443	Q12908	NTCP2_HUMAN	Ileal sodium/bile acid cotransporter (Apical sodium-dependent bile acid transporter) (ASBT) (Ileal Na(+)/bile acid cotransporter) (Ileal sodium-dependent bile acid transporter) (IBAT) (ISBT) (Na(+)-dependent ileal bile acid transporter) (Sodium/taurocholate cotransporting polypeptide, ileal) (Solute carrier family 10 member 2)
NP_062822	P09131	P3_HUMAN	P3 protein (Solute carrier family 10 member 3)
NP_689892	Q96EP9	NTCP4_HUMAN	Sodium/bile acid cotransporter 4 (Na(+)/bile acid cotransporter 4) (Solute carrier family 10 member 4)
NP_001010893	Q5PT55	NTCP5_HUMAN	Sodium/bile acid cotransporter 5 (Na(+)/bile acid cotransporter 5) (Solute carrier family 10 member 5)
NP_001025169	Q0GE19	NTCP7_HUMAN	Sodium/bile acid cotransporter 7 (Na(+)/bile acid cotransporter 7) (Solute carrier family 10 member 7)
NP_115504	Q0GE19	NTCP7_HUMAN	Sodium/bile acid cotransporter 7 (Na(+)/bile acid cotransporter 7) (Solute carrier family 10 member 7)
NP_932069	Q3KNW5	SOAT_HUMAN	Sodium-dependent organic anion transporter (SOAT) (Solute carrier family 10 member 6) (SLC10A6)
NP_004718	O60721	NCKX1_HUMAN	Sodium/potassium/calcium exchanger 1 (Na(+)/K(+)/Ca(2+)-exchange protein 1) (Retinal rod Na-Ca+K exchanger) (Solute carrier family 24 member 1)
NP_065077	Q9UI40	NCKX2_HUMAN	Sodium/potassium/calcium exchanger 2 (Na(+)/K(+)/Ca(2+)-exchange protein 2) (Retinal cone Na-Ca+K exchanger) (Solute carrier family 24 member 2)
NP_066920	P32418	NAC1_HUMAN	Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1)
NP_079235	Q6J4K2	NCLX_HUMAN	Mitochondrial sodium/calcium exchanger protein (Na(+)/K(+)/Ca(2+)-exchange protein 6) (Sodium/calcium exchanger protein, mitochondrial) (Sodium/potassium/calcium exchanger 6) (Solute carrier family 24 member 6) (Solute carrier family 8 member B1)
NP_055878	Q9UPR5	NAC2_HUMAN	Sodium/calcium exchanger 2 (Na(+)/Ca(2+)-exchange protein 2) (Solute carrier family 8 member 2)
NP_065740	Q9HC58	NCKX3_HUMAN	Sodium/potassium/calcium exchanger 3 (Na(+)/K(+)/Ca(2+)-exchange protein 3) (Solute carrier family 24 member 3)
NP_705932	Q8NFF2	NCKX4_HUMAN	Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4)
NP_705933	Q8NFF2	NCKX4_HUMAN	Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4)
NP_705934	Q8NFF2	NCKX4_HUMAN	Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4)
NP_891977	P57103	NAC3_HUMAN	Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)
NP_891981	P57103	NAC3_HUMAN	Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)
NP_891981	B3KU59	B3KU59_HUMAN	cDNA FLJ39234 fis, clone OCBBF2007762, highly similar to SODIUM/CALCIUM EXCHANGER 3
NP_489479	P57103	NAC3_HUMAN	Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)
NP_892114	P57103	NAC3_HUMAN	Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)
NP_150287	P57103	NAC3_HUMAN	Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3)
